GeneID,FC0_1,FC0_2,FC0_3,FC1_1,FC1_2,FC1_3,FC3_1,FC3_2,FC3_3,FC2_1,FC2_2,FC2_3,DBM0_1,DBM0_2,DBM0_3,DBM25_1,DBM25_2,DBM25_3,DBM50_1,DBM50_2,DBM50_3,DBM75_1,DBM75_2,DBM75_3
FC1_1_k141_30_gene_5,0,44,1502,46,10,6,124,8,58,4,54,24,58,204,784,1228,1568,234,2348,746,686,602,50,570
FC1_1_k141_53_gene_16,10,6,6,16,2,16,10,6,8,8,4,8,4,4,8,16,4,4,4,6,12,10,2,0
FC1_1_k141_77_gene_25,4,12,0,4,6,2,2,22,2,0,2,2,8,2,4,0,2,4,2,2,8,2,2,2
FC1_1_k141_98_gene_31,402,3744,5118,14870,3192,4164,3110,4192,3356,9234,4202,10116,3972,3228,938,7928,13202,3472,13890,3860,11624,2346,3508,256
FC1_1_k141_98_gene_32,204,2510,2404,10850,3730,4374,3310,3804,3726,7852,4442,8286,4350,3360,684,7082,9994,3594,9214,2336,8104,1054,3704,276
FC1_1_k141_98_gene_33,176,1484,2484,7102,1090,1910,1716,1874,1522,3800,1612,4476,2224,2152,638,4322,7030,1784,5764,2344,6290,1606,1798,80
FC1_1_k141_105_gene_37,0,2,8,1212,18,52,766,676,722,2838,1102,1692,648,948,210,1612,2254,958,1946,664,2222,0,46,48
FC1_1_k141_106_gene_39,0,0,0,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FC1_1_k141_108_gene_41,62,692,1052,8244,524,1542,822,862,634,2868,1060,1994,886,1214,228,1858,2160,848,5128,1728,5694,868,206,70
FC1_1_k141_108_gene_42,20,58,116,1562,66,194,82,104,82,458,64,242,82,80,26,270,368,74,1048,128,1060,88,22,6
FC1_1_k141_108_gene_43,44,542,634,4316,348,1282,746,854,486,1768,858,1108,776,806,244,1180,1338,634,2284,1510,5014,302,154,60
FC1_1_k141_115_gene_44,0,6,0,1762,8,104,180,464,170,4,0,12,438,172,118,152,266,36,6166,1130,7644,402,2,4
FC1_1_k141_117_gene_48,36,60,34,46,34,10,24,42,22,46,52,58,18,28,54,50,72,16,64,20,112,30,34,10
FC1_1_k141_118_gene_50,118,1360,1034,8288,1162,2448,2518,2184,1506,3272,1924,3832,3196,3174,1154,5698,7278,2492,3170,3038,7278,1336,2052,126
FC1_1_k141_118_gene_51,644,8396,10346,21206,7546,10070,8226,9502,6986,13284,10420,14850,8414,8022,2634,12918,17548,6918,15566,7824,13082,3306,6802,382
FC1_1_k141_122_gene_53,0,0,0,6,0,0,14,0,0,0,32,0,0,0,0,0,0,0,0,0,0,28,0,0
FC1_1_k141_127_gene_58,114,1324,1606,7676,1394,2506,1580,1706,1176,3438,1530,3536,2552,1942,452,4416,7120,1762,4758,1940,6466,990,2128,102
FC1_1_k141_127_gene_59,44,1108,918,7960,992,1512,1122,1288,968,2716,1418,2962,1806,1502,326,3294,5284,1324,3648,1186,4074,566,1058,42
FC1_1_k141_140_gene_62,0,4,8,1130,40,62,878,898,870,2688,1354,1448,792,1148,280,1266,1920,848,2000,912,1946,6,22,38
FC1_1_k141_140_gene_63,0,0,2,286,0,22,138,96,100,516,146,326,108,194,46,296,374,132,540,108,426,0,6,2
FC1_1_k141_140_gene_64,0,0,4,450,2,10,286,274,218,1308,106,856,296,388,108,1104,1266,398,1134,346,1720,0,24,14
FC1_1_k141_140_gene_65,0,0,10,670,10,34,230,244,292,1634,392,860,250,348,104,760,1190,446,1296,280,1516,4,46,12
FC1_1_k141_140_gene_66,0,66,90,1508,44,54,488,556,516,3602,946,2164,638,814,198,1696,2698,690,3772,450,2452,68,508,82
FC1_1_k141_153_gene_74,0,0,0,496,2,48,134,104,66,0,0,0,76,66,24,88,88,40,1044,1150,2454,0,0,0
FC1_1_k141_155_gene_77,0,0,0,1228,8,80,714,684,586,3922,1006,2018,522,746,146,1420,2100,654,2672,624,2010,4,14,26
FC1_1_k141_155_gene_78,0,0,4,1246,24,76,1118,938,1092,3880,1772,2052,780,1116,216,1448,2040,1154,2758,840,2078,2,64,30
FC1_1_k141_159_gene_82,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
